"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","LSU",72.9708,119,71.4174,138,131.442,10,117.208,38,90.5272,32,99.5285,53,17.6795,38
"2026","Maine",67.6531,284,68.1094,323,85.3789,351,94.7109,360,103.625,144,105.388,132,-10.6771,298
"2026","Manhattan",70.9,178,70.7285,176,106.208,180,106.707,167,121.729,327,116.378,355,-9.67085,286
"2026","Marist",67.8,278,67.799,334,93.4834,301,97.5872,339,87.8202,23,99.5032,51,-1.91599,165
"2026","Marquette",75.0525,64,73.6532,46,114.433,99,114.355,64,98.7733,100,100.282,62,14.0724,60
"2026","Marshall",76.1562,45,73.8968,36,111.031,125,106.993,162,111.25,229,107.571,172,-0.577881,151
"2026","Maryland",71.6375,155,70.5135,191,110.102,133,112.446,81,96.4461,80,96.7412,19,15.7046,50
"2026","Maryland Eastern Shore",66.8868,310,66.9689,351,64.5148,365,91.2863,363,110.119,213,109.117,202,-17.8309,350
"2026","Massachusetts",77.4625,28,75.4216,5,107.828,159,103.589,233,95.7502,74,106.526,147,-2.93662,187
"2026","McNeese",67.0625,306,69.702,248,115.646,86,110.934,99,105.065,161,103.038,93,7.89567,95
"2026","Memphis",74,90,73.8486,37,104.51,202,112.147,87,110.637,224,100.656,72,11.4918,77
"2026","Mercer",73.2542,112,73.337,61,102.041,224,103.89,227,116.728,287,109.969,239,-6.07857,238
"2026","Mercyhurst",66.0781,331,67.9838,328,98.5355,260,97.0951,343,100.121,113,110.384,253,-13.2894,323
"2026","Merrimack",68.8812,244,69.5539,259,101.08,235,101.088,286,118.455,297,109.406,212,-8.31773,270
"2026","Miami FL",75.5,56,72.6018,82,118.433,67,113.238,75,90.4558,31,99.4911,50,13.7471,63
"2026","Miami OH",70.8125,179,72.3304,93,115.014,91,109.307,115,93.7666,56,105.053,123,4.25418,115
"2026","Michigan",74.7171,67,72.7796,77,116.774,76,117.509,36,96.0185,75,93.2954,7,24.2134,14
"2026","Michigan St.",67.8542,273,69.383,267,112.055,118,115.144,57,95.7244,73,95.6274,13,19.5165,32
"2026","Middle Tennessee",71.2375,167,71.4639,132,108.089,155,106.208,181,101.07,119,106.406,144,-0.197743,146
"2026","Milwaukee",71.7575,151,72.6347,80,108.819,143,107.948,136,118.768,299,111.753,296,-3.80443,198
"2026","Minnesota",66.7993,312,67.4719,346,113.659,104,111.051,97,95.04,66,101.839,84,9.21146,91
"2026","Mississippi",67.6625,282,68.3324,315,125.623,31,119.193,24,96.2362,79,98.5903,34,20.6023,28
"2026","Mississippi St.",73.6833,100,72.255,98,109.167,142,116.603,46,101.861,131,99.8611,58,16.7424,45
"2026","Mississippi Valley St.",70.4595,189,68.2177,320,88.261,334,89.5712,365,126.116,338,121.221,365,-31.6503,365
"2026","Missouri",72.545,128,71.32,147,126.324,25,121.044,13,96.9561,83,101.71,82,19.3342,33
"2026","Missouri St.",73.9563,91,69.9261,237,89.2457,328,100.917,291,103.062,139,106.328,142,-5.41076,225
"2026","Monmouth",66.5062,322,70.5603,189,88.7227,331,102.261,261,107.522,176,108.242,187,-5.98101,234
"2026","Montana",78.7667,11,72.532,86,109.545,141,109.246,117,112.813,253,109.675,224,-0.429405,148
"2026","Montana St.",67.6875,280,68.6007,304,102.531,216,104.663,212,110.088,211,108.862,196,-4.19846,208
"2026","Morehead St.",73.1583,115,69.8213,241,92.1493,310,100.801,296,130.138,357,111.051,273,-10.2505,294
"2026","Morgan St.",71.6417,154,72.7994,76,103.066,214,98.224,332,118.4,294,116.794,357,-18.5701,358
"2026","Mount St. Mary's",68.6937,248,69.6453,250,89.3801,327,99.2181,325,102.452,134,107.25,162,-8.03195,265
"2026","Murray St.",78.3938,15,74.6491,16,122.397,42,111.073,96,101.147,121,106.856,155,4.21756,116
"2026","N.C. State",73.7844,94,71.0564,156,136.614,4,120.296,15,94.5398,61,98.6791,37,21.6165,22
"2026","Navy",69.5458,222,71.0159,161,103.799,210,105.718,192,110.091,212,107.946,179,-2.22827,174
"2026","Nebraska",71.475,158,71.5315,130,124.148,37,119.262,21,93.4951,52,102.154,86,17.1078,41
"2026","Nebraska Omaha",71.9594,147,70.9102,165,108.612,149,107.77,144,118.98,301,112.759,314,-4.98913,217
"2026","Nevada",67.6101,285,68.059,325,116.436,78,112.244,86,109.032,198,104.878,119,7.36631,100
"2026","New Hampshire",68.525,255,71.3641,143,76.1016,364,96.2977,352,113.932,265,113.702,322,-17.4047,348
"2026","New Haven",65.8,339,67.7536,338,87.4828,337,93.0442,362,108.642,194,111.941,302,-18.8973,360
"2026","New Mexico",70.3812,192,70.3555,198,106.945,167,107.777,142,91.3593,36,100.733,74,7.04306,101
"2026","New Mexico St.",65.7125,340,68.7395,300,115.655,84,107.432,150,103.481,143,104.896,120,2.53537,128
"2026","New Orleans",71.3667,162,71.8719,116,104.059,207,105.539,199,107.19,173,107.488,170,-1.94815,166
"2026","Niagara",65.3781,347,67.1394,350,102.284,218,99.0711,328,103.82,148,111.895,301,-12.8239,318
"2026","Nicholls",69.6281,219,69.8031,242,89.7085,324,99.7945,316,110.453,220,108.374,189,-8.57998,276
"2026","NJIT",71.1594,168,70.6722,181,99.9776,243,95.5078,357,98.088,89,110.033,241,-14.5256,340
"2026","Norfolk St.",65.3083,349,67.7763,337,88.6856,332,99.3719,324,97.276,86,106.446,145,-7.07445,252
"2026","North Alabama",67.2632,299,69.6031,255,102.149,220,104.847,209,118.62,298,111.672,293,-6.82508,248
"2026","North Carolina",74.3812,77,73.736,41,123.903,38,119.183,25,85.7285,15,97.9379,27,21.2447,23
"2026","North Carolina A&T",78.35,17,74.0601,29,100.026,242,97.5044,341,98.3733,94,111.686,295,-14.1813,334
"2026","North Carolina Central",67.4281,292,68.9486,291,87.339,339,99.4714,323,135.675,363,116.114,354,-16.6429,347
"2026","North Dakota",73.675,102,71.4402,135,99.336,249,101.926,268,112.521,249,114.262,334,-12.3365,314
"2026","North Dakota St.",73.1813,114,70.8627,167,106.986,165,106.661,169,103.013,138,108.623,194,-1.96275,167
"2026","North Florida",77.9625,23,73.6231,49,83.4551,355,102.151,262,130.19,358,117.212,359,-15.0608,344
"2026","North Texas",63.6688,362,67.6169,343,101.897,226,106.18,182,102.116,132,99.4496,49,6.7307,103
"2026","Northeastern",67.4733,290,70.1972,212,105.844,185,104.442,216,102.626,135,107.415,167,-2.9732,189
"2026","Northern Arizona",70.1125,202,70.0944,224,85.8277,350,102.821,249,114.767,273,111.57,290,-8.74957,279
"2026","Northern Colorado",73.3889,110,72.5569,84,106.586,173,107.265,152,98.1075,90,109.721,227,-2.4561,177
"2026","Northern Illinois",73.5167,107,72.1026,106,105.295,190,103.014,243,121.135,321,114.378,335,-11.3649,304
"2026","Northern Iowa",66.5208,321,67.6473,341,110.358,131,108.398,132,84.9181,11,100.551,70,7.84757,96
"2026","Northern Kentucky",70.9187,177,70.4265,195,83.836,353,100.167,310,120.159,313,110.274,249,-10.1066,293
"2026","Northwestern",67.3219,297,68.3991,313,124.625,34,115.697,53,89.5036,29,98.94,40,16.7571,44
"2026","Northwestern St.",66.9884,307,68.1241,322,96.9653,274,102.966,245,127.223,345,113.935,328,-10.9693,301
"2026","Notre Dame",68.6781,251,67.867,333,120.474,56,113.74,68,94.3799,60,99.6706,56,14.0696,61
